year,category,entries
2012,Category 1 : Light Lager,"Sponsored by : Five Star Chemicals & Supply, Inc. 200 Entries"
2012,Category 2 : Pilsner,Sponsored by : Beer & Winemakers Warehouse 237 Entries
2012,Category 3 : European Amber Lager,"Sponsored by : ""How to Brew,"" by John Palmer 158 Entries"
2012,Category 4 : Dark Lager,Sponsored by : Briess Malt & Ingredients Company 162 Entries
2012,Category 5 : Bock,Sponsored by : Washington Hop Commission 195 Entries
2012,Category 6 : Light Hybrid Beer,Sponsored by : Cargill World Select c/o Cargill Malt 303 Entries
2012,Category 7 : Amber Hybrid Beer,Sponsored by : Grape & Granary 174 Entries
2012,Category 8 : English Pale Ale,Sponsored by : St Louis Wine & Beer Making 265 Entries
2012,Category 9 : Scottish and Irish Ale,Sponsored by : Brew Brothers Homebrew Products 308 Entries
2012,Category 10 : American Ale,Sponsored by : BJ's Restaurant & Brewhouse 603 Entries
2012,Category 11 : English Brown Ale,Sponsored by : Alternative Beverage 198 Entries
2012,Category 12 : Porter,Sponsored by : Deschutes Brewery 326 Entries
2012,Category 13 : Stout,Sponsored by : Brew & Grow 630 Entries
2012,Category 14 : India Pale Ale (IPA),"Sponsored by : S.S. Steiner, Inc. 553 Entries"
2012,Category 15 : German Wheat and Rye Beer,Sponsored by : Widmer Brothers Brewing Company 237 Entries
2012,Category 16 : Belgian and French Ale,Sponsored by : Port Brewing Co/The Lost Abbey 491 Entries
2012,Category 17 : Sour Ale,Sponsored by : Capitan Lawrence Brewing Company 255 Entries
2012,Category 18 : Belgian Strong Ale,Sponsored by : Dingemans c/o Cargill Malt 454 Entries
2012,Category 19 : Strong Ale,Sponsored by : Northern Brewer 279 Entries
2012,Category 20 : Fruit Beer,Sponsored by : New Belgium Brewing Company 169 Entries
2012,Category 21 : Spice/Herb/Vegetable Beer,Sponsored by : Austin Homebrew Supply 362 Entries
2012,Category 22 : Smoke-Flavored and Wood-Aged Beer,Sponsored by : Alaskan Brewing Company 335 Entries
2012,Category 23 : Specialty Beer,Sponsored by : The Hops Shack 383 Entries
2012,Category 24 : Traditional Mead,Sponsored by : B. Nektar Meadery 106 Entries
2012,Category 25 : Melomel (Fruit Mead),"Sponsored by : Bacchus and Barleycorn, Ltd. 132 Entries"
2012,Category 26 : Other Mead,Sponsored by : Celestial Meads 97 Entries
2012,Category 27 : Standard Cider and Perry,Sponsored by : Woodchuck Hard Cider 115 Entries
2012,Category 28 : Specialty Cider and Perry,Sponsored by : Woodchuck Hard Cider 96 Entries
