year,category,2009
2009,Category 1 : Light Lager,155
2009,Category 2 : Pilsner,172
2009,Category 3 : European Amber Lager,96
2009,Category 4 : Dark Lager,136
2009,Category 5 : Bock,155
2009,Category 6 : Light Hybrid Beer,208
2009,Category 7 : Amber Hybrid Beer,100
2009,Category 8 : English Pale Ale,196
2009,Category 9 : Scottish and Irish Ale,225
2009,Category 10 : American Ale,364
2009,Category 11 : English Brown Ale,141
2009,Category 12 : Porter,226
2009,Category 13 : Stout,374
2009,Category 14 : India Pale Ale (IPA),330
2009,Category 15 : German Wheat and Rye Beer,164
2009,Category 16 : Belgian and French Ale,334
2009,Category 17 : Sour Ale,148
2009,Category 18 : Belgian Strong Ale,322
2009,Category 19 : Strong Ale,192
2009,Category 20 : Fruit Beer,117
2009,Category 21 : Spice/Herb/Vegetable Beer,208
2009,Category 22 : Smoke-Flavored and Wood-Aged Beer,182
2009,Category 23 : Specialty Beer,197
2009,Category 24 : Traditional Mead,75
2009,Category 25 : Melomel (Fruit Mead),118
2009,Category 26 : Other Mead,88
2009,Category 27 : Standard Cider and Perry,69
2009,Category 28 : Specialty Cider and Perry,73
